batchnum,loss,cer,time
batch 18200, ctc loss: 0.972350, cer: 0.234122, time/batch:   0.748
batch 18300, ctc loss: 0.980146, cer: 0.238125, time/batch:   0.745
batch 18400, ctc loss: 0.983745, cer: 0.233585, time/batch:   0.751
batch 18500, ctc loss: 0.967145, cer: 0.233626, time/batch:   0.744
batch 18600, ctc loss: 0.998446, cer: 0.233461, time/batch:   0.753
batch 18700, ctc loss: 0.984667, cer: 0.232595, time/batch:   0.759
batch 18800, ctc loss: 0.979103, cer: 0.235360, time/batch:   0.746
batch 18900, ctc loss: 0.990890, cer: 0.232264, time/batch:   0.736
batch 19000, ctc loss: 0.983608, cer: 0.233131, time/batch:   0.739
batch 19100, ctc loss: 0.974701, cer: 0.231398, time/batch:   0.756
batch 19200, ctc loss: 0.966952, cer: 0.230572, time/batch:   0.738
batch 19300, ctc loss: 0.990695, cer: 0.231439, time/batch:   0.750
batch 19400, ctc loss: 0.973611, cer: 0.231604, time/batch:   0.750
batch 19500, ctc loss: 0.982470, cer: 0.236226, time/batch:   0.753
batch 19600, ctc loss: 0.991008, cer: 0.233420, time/batch:   0.751
batch 19700, ctc loss: 0.990670, cer: 0.233337, time/batch:   0.764
batch 19800, ctc loss: 0.995098, cer: 0.233957, time/batch:   0.749
batch 19900, ctc loss: 1.004988, cer: 0.236226, time/batch:   0.725
batch 20000, ctc loss: 0.993907, cer: 0.233337, time/batch:   0.742
batch 20100, ctc loss: 0.989361, cer: 0.233172, time/batch:   0.737
batch 20200, ctc loss: 0.989532, cer: 0.233007, time/batch:   0.751
batch 20300, ctc loss: 0.992614, cer: 0.232801, time/batch:   0.733
batch 20400, ctc loss: 0.997107, cer: 0.230366, time/batch:   0.741
batch 20500, ctc loss: 1.010925, cer: 0.236268, time/batch:   0.769
batch 20600, ctc loss: 0.993367, cer: 0.234245, time/batch:   0.753
batch 20700, ctc loss: 0.972208, cer: 0.231563, time/batch:   0.765
batch 20800, ctc loss: 0.986844, cer: 0.232636, time/batch:   0.758
batch 20900, ctc loss: 1.001584, cer: 0.235607, time/batch:   0.751
batch 21000, ctc loss: 0.991725, cer: 0.234576, time/batch:   0.756
batch 21100, ctc loss: 0.988162, cer: 0.232512, time/batch:   0.745
batch 21200, ctc loss: 0.989080, cer: 0.234576, time/batch:   0.740
batch 21300, ctc loss: 1.011870, cer: 0.234864, time/batch:   0.740
batch 21400, ctc loss: 0.999319, cer: 0.235855, time/batch:   0.726
batch 21500, ctc loss: 0.993073, cer: 0.236020, time/batch:   0.747
